timestamp,quaternion x,quaternion y,quaternion z,quaternion w,pitch (in radians),roll (in radians),yaw (in radians)
1454979210.177053,-0.005658,0.007335,0.000001,0.999957,-0.011315,0.014671,0.000084
1454979210.197042,-0.005345,0.008026,0.000006,0.999954,-0.010691,0.016053,0.000099
1454979210.217031,-0.005186,0.008274,0.000003,0.999952,-0.010371,0.016548,0.000092
1454979210.237020,-0.005339,0.008436,-0.000003,0.999950,-0.010677,0.016874,0.000084
1454979210.257009,-0.005575,0.008471,-0.000008,0.999949,-0.011150,0.016942,0.000079
1454979210.276968,-0.005688,0.008485,-0.000007,0.999948,-0.011375,0.016970,0.000083
1454979210.296957,-0.005565,0.008529,-0.000006,0.999948,-0.011130,0.017060,0.000084
1454979210.316946,-0.005504,0.008666,-0.000007,0.999947,-0.011008,0.017333,0.000081
1454979210.336935,-0.005500,0.008732,-0.000015,0.999947,-0.011000,0.017465,0.000065
1454979210.356924,-0.005631,0.008718,-0.000020,0.999946,-0.011263,0.017437,0.000059
1454979210.376883,-0.005939,0.008645,-0.000010,0.999945,-0.011879,0.017292,0.000083
1454979210.396872,-0.006090,0.008535,-0.000002,0.999945,-0.012180,0.017072,0.000101
1454979210.416861,-0.005959,0.008519,0.000007,0.999946,-0.011918,0.017040,0.000115
1454979210.436850,-0.005847,0.008520,0.000002,0.999947,-0.011693,0.017041,0.000104
1454979210.456839,-0.005963,0.008482,-0.000010,0.999946,-0.011926,0.016964,0.000081
1454979210.476758,-0.006163,0.008363,-0.000013,0.999946,-0.012325,0.016726,0.000078
1454979210.496747,-0.006283,0.008325,-0.000012,0.999946,-0.012566,0.016651,0.000081
1454979210.516736,-0.006271,0.008386,-0.000006,0.999945,-0.012542,0.016772,0.000092
1454979210.536725,-0.006138,0.008427,-0.000005,0.999946,-0.012276,0.016856,0.000092
1454979210.556714,-0.006036,0.008445,-0.000010,0.999946,-0.012071,0.016891,0.000081
1454979210.576673,-0.006038,0.008490,-0.000008,0.999946,-0.012076,0.016981,0.000087
1454979210.596662,-0.005997,0.008536,-0.000015,0.999946,-0.011995,0.017073,0.000072
1454979210.616651,-0.005907,0.008613,-0.000022,0.999945,-0.011813,0.017226,0.000058
1454979210.636640,-0.005855,0.008662,-0.000029,0.999945,-0.011710,0.017324,0.000043
1454979210.656629,-0.005857,0.008669,-0.000032,0.999945,-0.011714,0.017339,0.000038
1454979210.676587,-0.005877,0.008686,-0.000029,0.999945,-0.011755,0.017373,0.000044
1454979210.696576,-0.005846,0.008729,-0.000037,0.999945,-0.011693,0.017459,0.000028
1454979210.716565,-0.005899,0.008694,-0.000043,0.999945,-0.011798,0.017389,0.000017
1454979210.736554,-0.006047,0.008626,-0.000037,0.999945,-0.012094,0.017254,0.000031
1454979210.756543,-0.006162,0.008524,-0.000030,0.999945,-0.012325,0.017049,0.000044
1454979210.776502,-0.006152,0.008463,-0.000025,0.999945,-0.012305,0.016927,0.000054
1454979210.796491,-0.006104,0.008454,-0.000025,0.999946,-0.012207,0.016908,0.000054
1454979210.816480,-0.006072,0.008484,-0.000024,0.999946,-0.012143,0.016969,0.000055
1454979210.836469,-0.006123,0.008453,-0.000032,0.999946,-0.012245,0.016906,0.000039
1454979210.856458,-0.006186,0.008450,-0.000035,0.999945,-0.012373,0.016900,0.000034
1454979210.876416,-0.006160,0.008490,-0.000035,0.999945,-0.012319,0.016980,0.000035
1454979210.896405,-0.006046,0.008588,-0.000033,0.999945,-0.012091,0.017177,0.000038
1454979210.916394,-0.005938,0.008658,-0.000044,0.999945,-0.011876,0.017317,0.000014
1454979210.936383,-0.005893,0.008652,-0.000048,0.999945,-0.011786,0.017305,0.000005
1454979210.956372,-0.005928,0.008667,-0.000053,0.999945,-0.011856,0.017334,-0.000004
1454979210.976331,-0.006003,0.008673,-0.000053,0.999944,-0.012008,0.017347,-0.000003
1454979210.996320,-0.006149,0.008597,-0.000049,0.999944,-0.012298,0.017195,0.000007
1454979211.016309,-0.006198,0.008554,-0.000039,0.999944,-0.012396,0.017109,0.000028
1454979211.036298,-0.006034,0.008541,-0.000037,0.999945,-0.012067,0.017083,0.000029
1454979211.056287,-0.006066,0.008501,-0.000047,0.999945,-0.012133,0.017003,0.000008
1454979211.076245,-0.006182,0.008448,-0.000064,0.999945,-0.012366,0.016895,-0.000024
