timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1454978651.574226,234.084122,125.228088,-700.968933
1454978651.594246,234.760269,125.455170,-701.265991
1454978651.614296,234.458176,125.004257,-701.116089
1454978651.634346,234.008286,125.002441,-701.343567
1454978651.654365,234.307663,124.853363,-701.491394
1454978651.674415,234.458771,125.154419,-700.966614
1454978651.694435,234.984528,125.306122,-701.114258
1454978651.714485,234.234406,125.303696,-700.893433
1454978651.734535,234.309189,125.228729,-701.117676
1454978651.754555,234.084900,125.377853,-701.194458
1454978651.774605,234.233032,124.928024,-701.567017
1454978651.794655,234.684586,125.304916,-701.265869
1454978651.814705,234.233124,125.003540,-701.042358
1454978651.834755,234.308899,125.153595,-701.267456
1454978651.854805,234.382507,124.853912,-701.190979
1454978651.874855,234.309967,125.378510,-701.343262
1454978651.894874,235.284286,125.231964,-701.337280
1454978651.914894,234.235321,125.453247,-701.343872
1454978651.934944,234.458572,125.079117,-701.266357
1454978651.954963,234.457886,124.929123,-701.265808
1454978651.974983,234.759369,125.229950,-701.490173
1454978651.995033,234.684189,125.230057,-701.115601
1454978652.015083,234.308228,125.003586,-701.266907
1454978652.035133,234.008469,125.077728,-701.043823
1454978652.055183,234.684555,125.304977,-701.190918
1454978652.075203,234.909286,125.230637,-701.339355
1454978652.095253,234.909180,125.230850,-701.114380
1454978652.115303,234.158951,125.152985,-701.343262
1454978652.135322,234.459198,125.229263,-701.116882
1454978652.155372,233.932495,124.852402,-701.118469
1454978652.175392,234.983414,125.005600,-701.638184
1454978652.195442,234.684326,125.229767,-701.415649
1454978652.215492,233.859192,125.227142,-701.120178
1454978652.235542,234.308838,125.153732,-701.117432
1454978652.255592,234.683167,125.005051,-701.114868
1454978652.275642,234.909210,125.230774,-701.189392
1454978652.295692,234.833786,125.155670,-701.039551
1454978652.315742,234.532181,124.779449,-701.189880
1454978652.335792,234.682587,124.854843,-701.339294
1454978652.355842,234.457855,124.929184,-701.190796
1454978652.375892,234.908936,125.155640,-701.339111
1454978652.395942,234.682358,124.779617,-701.564026
1454978652.415993,234.008209,125.002579,-701.193604
1454978652.436012,233.857590,124.851929,-701.343872
1454978652.456062,234.308167,125.003723,-701.116943
1454978652.476082,234.982925,124.930908,-701.337891
1454978652.496132,234.456573,124.629044,-701.339722
1454978652.516151,234.533234,125.004379,-701.265686
1454978652.536171,233.932602,124.852188,-701.343445
1454978652.556221,234.531570,124.629303,-701.339355
1454978652.576271,234.981903,124.705917,-701.337158
1454978652.596290,234.157776,124.928268,-701.042480
1454978652.616268,233.856857,124.702011,-701.268372
1454978652.636318,234.307327,124.778366,-701.491089
1454978652.656368,234.082260,124.777725,-701.342346
1454978652.676418,234.682541,124.854919,-701.264282
1454978652.696468,234.681122,124.555054,-701.113281
1454978652.716488,233.633286,125.001129,-701.345642
1454978652.736538,234.008179,125.002655,-701.118591
1454978652.756557,234.082596,124.852722,-701.342651
1454978652.776577,234.907837,124.930771,-701.188354
1454978652.796627,234.156128,124.553192,-701.116150
1454978652.816707,233.931732,124.702560,-700.967957
1454978652.836757,233.707260,124.776398,-701.344482
1454978652.856807,233.857071,124.777298,-700.968628
1454978652.876857,234.684189,125.230057,-701.115601
1454978652.896877,234.008209,125.002579,-701.193604
1454978652.916927,234.007492,124.852661,-701.118042
1454978652.936947,233.633209,125.001266,-701.195679
1454978652.956997,234.233276,125.003250,-701.342346
1454978652.977047,234.833603,125.080368,-701.339233
1454978652.997097,234.158615,125.077972,-701.343018
1454978653.017147,234.006866,124.702530,-701.267517
1454978653.037227,233.857483,124.852142,-701.118896
1454978653.057277,234.082260,124.777725,-701.342346
1454978653.077327,234.533646,125.079224,-701.415894
1454978653.097378,233.332748,124.925430,-700.972046
1454978653.117428,234.232330,124.778107,-701.491516
1454978653.137508,234.006470,124.627655,-701.117249
1454978653.157528,234.008286,125.002441,-701.343567
1454978653.177578,234.758270,125.005096,-701.339417
1454978653.197597,233.783356,125.001495,-701.494812
1454978653.217617,233.932968,124.927109,-701.418701
1454978653.237667,233.782928,124.926651,-701.344543
1454978653.257686,234.383224,125.003845,-701.266479
1454978653.277706,234.759048,125.154877,-701.564941
1454978653.297756,233.933243,125.002258,-701.268982
1454978653.317775,234.083618,125.077713,-701.343384
1454978653.337826,234.083542,125.077850,-701.193420
1454978653.357845,234.457596,124.854050,-701.340576
1454978653.377895,234.833221,125.005447,-701.264038
1454978653.397915,234.233459,125.078537,-701.042603
1454978653.417934,234.158508,125.078186,-701.118042
1454978653.437984,233.933624,125.077179,-701.344238
1454978653.458004,233.707336,124.776245,-701.494446
1454978653.478054,234.684326,125.229767,-701.415649
1454978653.498073,233.783875,125.151794,-701.195312
1454978653.518123,233.782181,124.776794,-701.194031
1454978653.538143,234.082550,124.852798,-701.267639
1454978653.558162,234.232697,124.853027,-701.566772
1454978653.578212,234.833344,125.005219,-701.489014
1454978653.598232,234.231522,124.628326,-701.265991
1454978653.618282,234.382172,124.778915,-701.190735
1454978653.638332,234.458389,125.003815,-701.566040
1454978653.658352,233.784332,125.226578,-701.420593
1454978653.678402,234.908630,125.080551,-701.413818
1454978653.698421,234.682617,124.854767,-701.414307
1454978653.718471,234.232147,124.778473,-701.116577
1454978653.738521,234.083282,125.002716,-701.343140
1454978653.758571,234.609665,125.304504,-701.416321
1454978653.778621,233.936615,125.676666,-701.871338
1454978653.798671,232.813873,126.197891,-701.654419
1454978653.818691,231.839005,126.194229,-701.884827
1454978653.838741,231.539734,126.343079,-701.961975
1454978653.858761,231.466263,126.718185,-701.588745
1454978653.878780,231.166855,126.791595,-702.115662
1454978653.898830,230.268494,127.163574,-701.971924
1454978653.918850,228.617859,127.007645,-702.055542
1454978653.938900,228.394531,127.381927,-701.983154
1454978653.958919,228.396500,127.832062,-701.834717
1454978653.978969,227.873444,128.280426,-701.614197
1454978653.998989,227.048355,128.277725,-701.393799
1454978654.019008,226.749146,128.426437,-701.620972
1454978654.039058,226.973206,128.202087,-701.768921
1454978654.059108,227.498871,128.353943,-701.766541
1454978654.079159,227.574966,128.579056,-701.916931
1454978654.099209,226.823380,128.276855,-701.470032
1454978654.119259,226.973831,128.352158,-701.694458
1454978654.139278,226.746750,127.901443,-701.619141
1454978654.159298,226.448349,128.199936,-702.071777
1454978654.179348,227.724579,128.504654,-701.840820
1454978654.199367,226.972748,128.127319,-701.543701
1454978654.219417,227.122772,128.127777,-701.617798
1454978654.239467,226.523102,128.200729,-701.546387
1454978654.259517,228.023941,128.355667,-701.913635
1454978654.279537,228.024063,128.431107,-701.463928
1454978654.299556,226.972107,127.977234,-701.618164
1454978654.319607,226.823151,128.201630,-701.694763
1454978654.339657,226.897095,127.976974,-701.618530
1454978654.359676,227.648224,128.204407,-701.840210
1454978654.379757,227.500473,128.729172,-701.542847
1454978654.399776,226.074310,128.499405,-701.250000
1454978654.419796,225.776016,128.873352,-701.252930
1454978654.439846,225.401932,129.097244,-701.030823
1454978654.459896,226.229416,129.624939,-701.253113
1454978654.479946,224.731262,130.070068,-700.812988
1454978654.499996,223.758179,130.516907,-700.520020
1454978654.520046,223.460602,131.040756,-700.598511
1454978654.540127,223.161942,131.415451,-699.851501
1454978654.560177,222.940384,132.164566,-699.930420
1454978654.580196,221.442078,132.610001,-699.190308
1454978654.600246,220.319824,133.281677,-698.523926
1454978654.620327,219.347855,134.029022,-697.707031
1454978654.640377,217.700500,134.623413,-697.493225
1454978654.660396,217.478241,135.298279,-696.821899
1454978654.680416,215.379059,135.516281,-696.384338
1454978654.700466,214.481339,136.038315,-696.166138
1454978654.720485,212.907913,136.408035,-695.876221
1454978654.740535,211.483368,136.553497,-695.359619
1454978654.760555,211.260300,137.002930,-695.137512
1454978654.780575,209.386078,137.221817,-694.623657
1454978654.800625,208.109894,136.992676,-694.255005
1454978654.820675,206.834412,136.913467,-693.961792
1454978654.840725,205.335037,137.058319,-693.820618
1454978654.860775,205.560684,137.209183,-693.744873
1454978654.880794,203.533447,136.752457,-693.304565
1454978654.900844,202.859360,136.975281,-693.084106
1454978654.920864,202.258301,136.748230,-693.011658
1454978654.940914,201.810318,137.196716,-692.940674
1454978654.960933,201.658279,136.746185,-692.939941
